DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,NO,2021,71150,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,PL,2013,10030,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,PL,2018,12500,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,PL,2021,13770,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,PT,2013,16050,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,PT,2018,18190,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,PT,2021,18090,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,RO,2013,6860,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,RO,2018,8910,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,RO,2021,9600,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,RS,2013,4590,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,RS,2018,5200,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,RS,2021,5920,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SE,2013,40510,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SE,2018,43760,
ESTAT:SDG_08_10(1.0),20/10/23 11:00:00,A,CLV10_EUR_HAB,B1GQ,SE,2021,45280,
